_id,_orderId,_contractId,_timestamp,_tradeDate,_action,_qty,_price,_active,_accountId,Fill ID,Order ID,Timestamp,Date,Account,B/S,Quantity,Price,_priceFormat,_priceFormatType,_tickSize,Contract,Product,Product Description,commission
437032170007,437032170004,4086428,2026-03-13 14:10:45.244Z,2026-03-13,1,1,24677.25,true,43945021,437032170007,437032170004,03/13/2026 19:40:45,3/13/26,TDFYSL50399172438, Sell,1,24677.25,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,1.29
437032170017,437032170014,4086428,2026-03-13 14:11:13.699Z,2026-03-13,1,1,24680.25,true,43945021,437032170017,437032170014,03/13/2026 19:41:13,3/13/26,TDFYSL50399172438, Sell,1,24680.25,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,1.29
437032170026,437032170023,4086428,2026-03-13 14:11:13.868Z,2026-03-13,1,1,24679.75,true,43945021,437032170026,437032170023,03/13/2026 19:41:13,3/13/26,TDFYSL50399172438, Sell,1,24679.75,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,1.29
437032170035,437032170032,4086428,2026-03-13 14:11:14.790Z,2026-03-13,1,1,24681.75,true,43945021,437032170035,437032170032,03/13/2026 19:41:14,3/13/26,TDFYSL50399172438, Sell,1,24681.75,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,1.29
437032170048,437032170045,4086428,2026-03-13 14:11:25.119Z,2026-03-13,0,4,24682.25,true,43945021,437032170048,437032170045,03/13/2026 19:41:25,3/13/26,TDFYSL50399172438, Buy,4,24682.25,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,5.16
437032170065,437032170062,4086428,2026-03-13 14:12:14.244Z,2026-03-13,1,1,24668.25,true,43945021,437032170065,437032170062,03/13/2026 19:42:14,3/13/26,TDFYSL50399172438, Sell,1,24668.25,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,1.29
437032170074,437032170071,4086428,2026-03-13 14:12:20.693Z,2026-03-13,1,1,24673.75,true,43945021,437032170074,437032170071,03/13/2026 19:42:20,3/13/26,TDFYSL50399172438, Sell,1,24673.75,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,1.29
437032170083,437032170080,4086428,2026-03-13 14:16:25.850Z,2026-03-13,0,2,24682.0,true,43945021,437032170083,437032170080,03/13/2026 19:46:25,3/13/26,TDFYSL50399172438, Buy,2,24682.00,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,2.58
437032170096,437032170093,4086428,2026-03-13 14:16:53.095Z,2026-03-13,1,1,24655.0,true,43945021,437032170096,437032170093,03/13/2026 19:46:53,3/13/26,TDFYSL50399172438, Sell,1,24655.00,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,1.29
437032170105,437032170102,4086428,2026-03-13 14:16:53.865Z,2026-03-13,1,1,24657.25,true,43945021,437032170105,437032170102,03/13/2026 19:46:53,3/13/26,TDFYSL50399172438, Sell,1,24657.25,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,1.29
437032170114,437032170111,4086428,2026-03-13 14:17:46.068Z,2026-03-13,1,1,24646.25,true,43945021,437032170114,437032170111,03/13/2026 19:47:46,3/13/26,TDFYSL50399172438, Sell,1,24646.25,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,1.29
437032170124,437032170121,4086428,2026-03-13 14:20:07.366Z,2026-03-13,0,3,24676.75,true,43945021,437032170124,437032170121,03/13/2026 19:50:07,3/13/26,TDFYSL50399172438, Buy,3,24676.75,-2,0,0.25,NQH6,NQ,E-Mini NASDAQ 100,3.87
