symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQH6,-2,0,0.25,436235740007,436235740017,1,24804.00,24782.50,$(43.00),03/13/2026 19:16:17,03/13/2026 19:16:45,28sec
MNQH6,-2,0,0.25,436235740028,436235740037,1,24788.00,24765.00,$(46.00),03/13/2026 19:17:25,03/13/2026 19:18:49,1min 23sec
MNQH6,-2,0,0.25,436235740066,436235740057,1,24750.50,24750.00,$(1.00),03/13/2026 19:22:07,03/13/2026 19:20:01,2min 6sec
MNQH6,-2,0,0.25,436235740066,436235740048,1,24750.50,24761.00,$21.00,03/13/2026 19:22:07,03/13/2026 19:19:09,2min 57sec
NQH6,-2,0,0.25,436235740120,436235740107,1,24682.25,24681.75,$(10.00),03/13/2026 19:41:25,03/13/2026 19:41:14,10sec
NQH6,-2,0,0.25,436235740120,436235740098,1,24682.25,24679.75,$(50.00),03/13/2026 19:41:25,03/13/2026 19:41:13,11sec
NQH6,-2,0,0.25,436235740120,436235740089,1,24682.25,24680.25,$(40.00),03/13/2026 19:41:25,03/13/2026 19:41:13,11sec
NQH6,-2,0,0.25,436235740120,436235740079,1,24682.25,24677.75,$(90.00),03/13/2026 19:41:25,03/13/2026 19:40:45,39sec
NQH6,-2,0,0.25,436235740155,436235740146,1,24682.00,24673.75,$(165.00),03/13/2026 19:46:25,03/13/2026 19:42:20,4min 5sec
NQH6,-2,0,0.25,436235740155,436235740137,1,24682.00,24668.00,$(280.00),03/13/2026 19:46:25,03/13/2026 19:42:14,4min 11sec
NQH6,-2,0,0.25,436235740196,436235740186,1,24676.25,24646.25,$(600.00),03/13/2026 19:50:07,03/13/2026 19:47:46,2min 21sec
NQH6,-2,0,0.25,436235740196,436235740177,1,24676.25,24657.50,$(375.00),03/13/2026 19:50:07,03/13/2026 19:46:53,3min 13sec
NQH6,-2,0,0.25,436235740196,436235740168,1,24676.25,24655.00,$(425.00),03/13/2026 19:50:07,03/13/2026 19:46:53,3min 14sec
